Podaj bok bloku (np. 3 dla planszy 9x9): 
BlockHeight = 3;
BlockWidth = 3;

numCages = 25;

cageID = [
  [  1,   1,   1,   2,   2,   3,   3,   3,   4],
  [  1,   5,   5,   6,   6,   3,   7,   8,   4],
  [  9,   5,  10,   6,  11,   7,   7,   7,   4],
  [  9,   5,  10,  12,  11,   7,  13,  13,  14],
  [  9,  15,  10,  12,  11,  13,  13,  13,  14],
  [ 15,  15,  15,  12,  16,  17,  17,  17,  17],
  [ 18,  15,  19,  19,  16,  17,  20,  21,  21],
  [ 18,  22,  22,  23,  23,  24,  20,  21,  21],
  [ 18,  18,  25,  23,  23,  24,  24,  24,  21],
];

cageTarget = [20, 9, 26, 12, 20, 13, 30, 4, 13, 14, 16, 12, 20, 12, 27, 8, 24, 16, 16, 7, 22, 12, 23, 23, 6];
